pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
CFC6n181TdaxSZWNxYH5MmoLsVAf2V94bzWSbdhu8TgH,"SKR / SOL",meteora,seeker,wrapped-solana,seeker,130010612,above,single_subject:cg_mcap,188718,21483673
VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,"SKR / USDC",orca,seeker,usd-coin,seeker,130010612,above,single_subject:cg_mcap,181785,13656509
Fhjzcf3JFH3zN6uKoNwwr9WhfdUnFoCY9KZKybx3CoR9,"SKR / USDC",humidifi,seeker,usd-coin,seeker,130010612,above,single_subject:cg_mcap,167664,3433278
H5zhyinHqif8sL6fkSKyYei1Qjuw2kcK9tN4EtxrcvfN,"SKR / USDC",byreal,seeker,usd-coin,seeker,130010612,above,single_subject:cg_mcap,112199,12627999
BCv5Ggg5563AYfkrErdXok2hKfjgUNtQ1A4yKuNbTjQ9,"SKR / SOL",meteora,seeker,wrapped-solana,seeker,130010612,above,single_subject:cg_mcap,39208,2577655
6pvBaeq7eR9e56V63aYqJPLup5YnjrSDEnUYTWPZPqoX,"SKR / OMEN",raydium,seeker,,OMEN,59725,below,min_cap_of_two:gt_fdv,33575,747725
9t1H1uDJ558iMPNkEPSN1fqkpC4XSPQ6cqSf6uEsTfTR,"SPX / SOL",raydium,spx6900,wrapped-solana,spx6900,455920704,above,single_subject:cg_mcap,1283048,23472093
FFasJsUs3NsWkvidNmMB4oiz98f5VeeU7dmmuWkkmt88,"🧲 / SPX",raydium,,spx6900,🧲,692369,below,min_cap_of_two:gt_fdv,601327,6426465
5gwmcjXMy6jmWHAXS4rTcPSRbgkm92RnyYBRtMQJsREw,"SPX / SOL",orca,spx6900,wrapped-solana,spx6900,455920704,above,single_subject:cg_mcap,374570,5452701
AgeSxtVWWMojFWYNrXKnVp9cFuC5CQ7M4rzmrseLxfUj,"SPX / USDC",orca,spx6900,usd-coin,spx6900,455920704,above,single_subject:cg_mcap,140312,9583277
62KR7tk1KWARJ9PdCgoK9tTcTJBvDjB1aEcdr8myxKXN,"SPX / SOL",meteora,spx6900,wrapped-solana,spx6900,455920704,above,single_subject:cg_mcap,79273,1442873
2pDkRXe4AAa1rsUJQH9bPaVtyKRc5QAtSotmosqTJ8wo,"40169K / SPX",meteora-damm-v2,,spx6900,40169K,68487,below,min_cap_of_two:gt_fdv,58714,71958
AfrddTGYwCVEQB1gxCAhR8i48o6qtxYqksdVkeLudEhg,"STONK / SOL",orca,stonk-3,wrapped-solana,stonk-3,215957377,above,single_subject:cg_mcap,3759112,173982280
EgB1PqsGFbj3u7jGfwwx5V9CVoc4BGjyfgnag7BJcQjB,"STONK / USDC",raydium-clmm,stonk-3,usd-coin,stonk-3,215957377,above,single_subject:cg_mcap,3212189,15799262
6ash7NazTfoeszf7UkKufy8JLTZyaJJtCdkWvsjwpb1d,"STONK / SOL",orca,stonk-3,wrapped-solana,stonk-3,215957377,above,single_subject:cg_mcap,3156359,8887290
3qL6BWyTPitB6FqUYmSt7PZ2fbUZGdHAyxQNYtv2Diq2,"LEVERSTONK / STONK",meteora-damm-v2,,stonk-3,LEVERSTONK,261357,below,min_cap_of_two:gt_fdv,2398933,779733
